trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_038.trj,2836.40,8.11,-301.96,0.00,0.00,0.00,6.55,1.97,1.98,1.98,1.10,-2.99,6:06,rear end,2.13,88.59,1255,5,1,4.64,2.00,90.60,1.26,0.88,8.11,-301.96,8.11,-301.96,1256,10005,1,4.01,1.85,87.61,3.23,1.10,8.27,-306.31,8.27,-306.31,1.00,99.00,99.00,
left turn real_038.trj,2878.20,4.94,-333.17,0.00,0.00,0.00,2.28,1.64,-7.47,-7.47,0.91,-14.09,6:28,rear end,1.30,80.00,1272,5,2,4.64,2.00,90.60,0.58,0.73,4.94,-333.17,4.94,-333.17,1273,5,2,3.75,1.99,76.51,2.20,0.91,6.34,-337.39,6.34,-337.39,1.00,99.00,99.00,
left turn real_038.trj,2902.20,5.07,-345.54,0.00,0.00,0.00,7.92,6.76,2.01,2.01,3.38,-9.99,6:20,rear end,3.38,80.61,1275,5,2,4.21,2.00,90.60,0.00,3.38,5.07,-345.54,5.07,-345.54,1286,5,2,4.21,2.00,80.61,6.76,3.38,6.53,-349.83,6.53,-349.83,1.00,99.00,99.00,
left turn real_038.trj,2918.40,5.22,-360.50,0.00,0.00,0.00,0.88,0.68,-0.74,-0.74,0.35,-20.09,6:40,rear end,0.53,74.70,1294,5,2,4.61,1.95,90.60,0.22,0.33,5.22,-360.50,5.22,-360.50,1296,5,2,4.21,2.00,70.51,0.88,0.35,6.02,-365.09,6.02,-365.09,1.00,99.00,99.00,
left turn real_038.trj,2923.00,5.17,-355.53,0.00,0.00,0.00,0.49,0.49,0.19,0.19,0.25,-26.71,6:53,rear end,0.25,63.91,1287,5,2,4.21,2.00,90.61,0.00,0.25,5.17,-355.53,5.17,-355.53,1294,5,2,4.61,1.95,63.91,0.49,0.24,6.01,-360.03,6.01,-360.03,1.00,99.00,99.00,
left turn real_038.trj,2927.20,5.22,-360.04,0.00,0.00,0.00,4.61,4.46,0.00,0.00,2.37,-12.72,6:25,rear end,2.52,78.24,1301,5,2,3.75,1.99,90.60,0.15,2.37,5.22,-360.04,5.22,-360.04,1304,5,2,4.21,2.00,77.88,4.61,2.09,6.63,-364.10,6.63,-364.10,1.00,99.00,99.00,
left turn real_038.trj,2933.80,0.04,-205.92,0.00,0.00,0.00,4.25,3.84,-1.72,-1.72,2.06,-12.89,6:26,rear end,2.20,258.37,1310,1,2,4.36,1.97,269.93,0.43,1.78,0.04,-205.92,0.04,-205.92,1311,1,1,4.01,1.85,257.04,4.25,2.06,-1.55,-202.31,-1.55,-202.31,1.00,99.00,99.00,
left turn real_038.trj,2962.40,-2.52,-191.25,0.00,0.00,0.00,8.27,5.82,3.15,3.15,3.14,34.90,4:50,lane change,3.95,263.28,1320,1,1,4.76,2.07,235.28,1.54,2.69,-2.52,-191.25,-2.52,-191.25,1321,1,2,4.21,2.00,270.18,7.02,3.14,0.06,-187.63,0.06,-187.63,1.00,99.00,99.00,
left turn real_038.trj,2986.20,8.11,-301.95,0.00,0.00,0.00,7.48,3.95,2.13,2.13,2.13,-2.61,6:05,rear end,3.06,88.56,1300,5,1,4.76,2.07,90.60,1.24,1.82,8.11,-301.95,8.11,-301.95,1304,10005,1,4.21,2.00,87.99,5.19,2.13,8.27,-306.39,8.27,-306.39,1.00,99.00,99.00,
left turn real_038.trj,2988.20,7.21,-300.11,0.00,0.00,0.00,7.30,5.48,0.42,0.42,3.12,-30.15,7:00,lane change,4.29,90.21,1300,5,1,4.76,2.07,111.80,2.23,2.36,7.21,-300.11,7.21,-300.11,1302,10005,1,3.75,1.99,81.65,7.30,3.12,8.71,-303.63,8.71,-303.63,1.00,99.00,99.00,
left turn real_038.trj,3007.60,8.08,-299.58,0.00,0.00,0.00,7.12,7.04,0.00,0.00,4.01,-11.13,6:22,rear end,4.09,79.57,1335,5,1,3.75,1.99,90.60,0.08,4.01,8.08,-299.58,8.08,-299.58,1336,10005,1,4.76,2.07,79.47,7.12,3.03,8.90,-303.19,8.90,-303.19,1.00,99.00,99.00,
left turn real_038.trj,3042.80,5.17,-355.08,0.00,0.00,0.00,5.67,3.89,-0.75,-0.75,2.00,-13.31,6:27,rear end,1.89,77.29,1350,5,2,4.76,2.07,90.60,0.00,1.89,5.17,-355.08,5.17,-355.08,1356,5,2,4.64,2.00,77.29,3.89,2.00,6.51,-359.83,6.51,-359.83,1.00,99.00,99.00,
left turn real_038.trj,3098.60,0.02,-226.43,0.00,0.00,0.00,3.49,3.49,2.91,2.91,1.94,-19.52,6:39,rear end,1.94,250.40,1372,1,2,3.75,1.99,269.93,0.00,1.94,0.02,-226.43,0.02,-226.43,1374,1,2,4.64,2.00,250.40,3.49,1.56,-1.12,-222.21,-1.12,-222.21,1.00,99.00,99.00,
left turn real_038.trj,3100.00,0.00,-238.73,0.00,0.00,0.00,5.63,3.70,2.60,2.60,1.85,-20.07,6:40,rear end,1.85,249.86,1369,1,2,4.61,1.95,269.93,0.00,1.85,0.00,-238.73,0.00,-238.73,1370,1,1,4.61,1.95,249.86,3.70,1.85,-1.39,-234.79,-1.39,-234.79,1.00,99.00,99.00,
left turn real_038.trj,3105.20,5.33,-370.64,0.00,0.00,0.00,0.57,0.57,0.62,0.62,0.30,-26.61,6:53,rear end,0.30,63.99,1367,5,2,4.21,2.00,90.60,0.00,0.30,5.33,-370.64,5.33,-370.64,1375,5,2,4.61,1.95,63.99,0.57,0.28,6.17,-375.12,6.17,-375.12,1.00,99.00,99.00,
