trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_036.trj,246.80,-3.46,-211.37,0.00,1.50,2.60,11.52,2.69,-1.26,-3.66,1.47,0.74,5:59,rear end,10.05,270.31,118,1,1,4.61,1.95,269.93,8.83,1.22,-3.46,-211.37,-3.48,-223.69,121,1,1,4.01,1.85,270.67,11.52,1.47,-3.43,-180.38,-3.10,-208.10,1.00,99.00,99.00,
left turn real_036.trj,284.80,4.57,-298.68,0.00,1.40,1.00,3.61,0.37,-0.44,-0.44,0.19,0.00,6:00,rear end,3.42,90.60,88,5,2,4.61,1.95,90.60,3.61,0.19,4.57,-298.68,4.54,-295.53,93,5,2,4.76,2.07,90.60,3.24,0.18,4.65,-306.27,4.62,-302.88,1.00,99.00,99.00,
left turn real_036.trj,289.20,4.63,-304.23,0.00,1.00,2.80,2.26,1.76,-0.20,-1.86,0.94,34.44,4:51,lane change,1.47,83.87,99,5,2,4.01,1.85,56.24,0.66,0.94,4.64,-304.66,6.58,-301.74,106,5,2,4.21,2.00,90.67,2.26,0.82,4.72,-311.61,4.67,-308.16,1.00,99.00,99.00,
left turn real_036.trj,292.40,4.73,-313.25,0.00,1.30,1.00,1.48,1.29,-7.74,-7.74,0.74,0.00,5:59,rear end,0.75,90.60,108,5,2,4.01,1.85,90.60,0.02,0.74,4.73,-313.26,4.72,-312.56,110,5,2,4.76,2.07,90.60,1.31,0.56,4.79,-319.58,4.77,-317.44,1.00,99.00,99.00,
left turn real_036.trj,292.80,8.15,-305.95,0.00,0.80,1.80,7.44,4.55,-0.55,-7.42,2.53,0.00,6:00,rear end,4.91,90.60,109,5,1,4.64,2.00,90.60,2.88,2.02,8.16,-307.00,8.10,-300.89,114,5,1,4.01,1.85,90.60,7.44,2.53,8.27,-317.82,8.19,-310.19,1.00,99.00,99.00,
left turn real_036.trj,294.20,8.20,-311.08,0.00,1.10,1.40,5.52,4.22,-1.65,-3.38,2.31,0.00,5:59,rear end,3.61,90.60,114,5,1,4.01,1.85,90.60,1.30,2.31,8.21,-311.72,8.17,-307.61,124,5,1,4.61,1.95,90.60,5.52,1.91,8.32,-322.00,8.25,-315.33,1.00,99.00,99.00,
left turn real_036.trj,292.20,6.08,-302.77,0.00,0.60,2.00,8.06,6.84,-1.66,-7.15,3.80,7.65,5:45,rear end,4.41,90.13,99,5,2,4.01,1.85,82.96,0.61,3.80,5.16,-303.90,7.87,-281.95,109,5,1,4.64,2.00,90.60,7.45,3.04,8.26,-316.09,8.07,-298.77,1.00,99.00,99.00,
left turn real_036.trj,297.80,4.93,-332.87,0.00,1.30,1.20,3.49,3.44,-0.38,-3.86,1.77,0.00,6:00,rear end,1.72,90.60,122,5,2,4.61,1.95,90.60,0.06,1.66,4.93,-332.94,4.92,-332.00,132,5,2,4.21,2.00,90.60,3.49,1.77,5.03,-342.35,4.98,-337.16,1.00,99.00,99.00,
left turn real_036.trj,299.40,-0.03,-228.72,0.00,0.00,0.00,3.25,1.63,2.66,2.66,0.82,-25.59,6:51,rear end,0.82,246.56,121,1,2,4.01,1.85,272.16,0.00,0.82,-0.03,-228.72,-0.03,-228.72,123,1,2,3.75,1.99,246.56,1.63,0.81,-0.56,-223.32,-1.21,-224.81,1.00,99.00,99.00,
left turn real_036.trj,295.40,8.26,-316.43,0.00,1.50,1.00,4.19,2.28,-1.76,-1.96,1.14,0.00,6:00,rear end,3.05,90.60,124,5,1,4.61,1.95,90.60,1.92,1.14,8.26,-316.43,8.09,-300.24,128,5,1,4.61,1.95,90.60,4.19,1.14,8.34,-324.34,8.21,-311.48,1.00,99.00,99.00,
