trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,426.80,-2.48,-282.11,0.00,0.00,0.00,9.40,14.00,1.58,1.58,7.22,125.49,1:49,crossing,3.64,216.88,158,10004,1,4.61,1.95,144.71,6.94,6.78,-2.48,-282.11,-2.48,-282.11,168,10001,1,4.21,2.00,270.20,8.78,7.22,-3.52,-279.97,-3.52,-279.97,1.00,99.00,99.00,
left turn real_002.trj,433.40,-3.54,-281.65,0.00,0.00,0.00,11.76,16.33,-0.20,-0.20,8.17,119.84,2:00,crossing,5.13,234.44,159,10004,1,4.21,2.00,150.34,6.91,8.17,-3.54,-281.65,-3.54,-281.65,183,10001,1,4.21,2.00,270.18,11.76,8.17,-3.52,-279.55,-3.52,-279.55,1.00,99.00,99.00,
left turn real_002.trj,436.40,-0.04,-272.40,0.00,0.00,0.00,5.60,3.01,2.35,2.35,1.51,-20.31,6:41,rear end,1.51,249.62,149,10006,1,4.76,2.07,269.93,0.00,1.51,-0.04,-272.40,-0.04,-272.40,161,1,2,4.76,2.07,249.62,3.01,1.51,-1.17,-267.47,-1.17,-267.47,1.00,99.00,99.00,
left turn real_002.trj,440.40,0.03,-214.87,0.00,0.00,0.00,2.83,2.83,2.21,2.21,1.48,-20.61,6:41,rear end,1.48,249.32,202,1,2,4.61,1.95,269.93,0.00,1.48,0.03,-214.87,0.03,-214.87,205,1,2,4.76,2.07,249.32,2.83,1.35,-1.09,-210.17,-1.09,-210.17,1.00,99.00,99.00,
left turn real_002.trj,445.00,-0.03,-266.12,0.00,0.00,0.00,5.61,2.67,1.71,1.71,1.98,-20.87,6:42,rear end,0.70,249.05,164,1,2,10.22,2.50,269.93,0.00,0.70,-0.03,-266.12,-0.03,-266.12,175,1,2,4.61,1.95,249.05,2.67,1.98,-1.17,-258.70,-1.17,-258.70,1.00,99.00,99.00,
left turn real_002.trj,448.20,-3.51,-279.02,0.00,0.00,0.00,9.63,13.82,0.02,0.02,7.56,-107.13,9:34,crossing,5.36,232.73,175,10001,1,4.61,1.95,269.87,9.63,6.26,-3.51,-279.02,-3.51,-279.02,186,8,2,4.01,1.85,162.73,7.48,7.56,-5.96,-281.09,-5.96,-281.09,1.00,99.00,99.00,
left turn real_002.trj,451.20,-1.23,-282.81,0.00,0.00,0.00,11.18,16.82,0.17,0.17,8.68,131.95,1:36,crossing,4.31,233.52,193,10004,1,4.21,2.00,138.25,7.15,8.68,-1.23,-282.81,-1.23,-282.81,194,10001,1,4.61,1.95,270.19,11.18,8.15,-3.51,-280.45,-3.51,-280.45,1.00,99.00,99.00,
left turn real_002.trj,455.60,-3.51,-281.94,0.00,0.00,0.00,11.62,17.47,2.70,2.70,9.01,-135.28,10:31,crossing,4.26,234.75,187,10001,1,4.61,1.95,270.17,11.56,8.46,-3.51,-281.94,-3.51,-281.94,195,10004,1,4.21,2.00,134.89,7.24,9.01,-0.71,-283.13,-0.71,-283.13,1.00,99.00,99.00,
left turn real_002.trj,501.20,-3.53,-264.49,0.00,0.00,0.00,12.82,12.79,0.16,0.16,6.40,-10.01,6:20,rear end,6.40,259.92,218,1,1,4.21,2.00,269.93,0.00,6.40,-3.53,-264.49,-3.53,-264.49,222,10007,1,4.21,2.00,259.92,12.79,6.40,-4.36,-260.76,-4.36,-260.76,1.00,99.00,99.00,
left turn real_002.trj,524.40,8.10,-301.07,0.00,0.00,0.00,8.24,7.90,-0.58,-0.58,4.08,-6.74,6:13,rear end,4.16,84.14,227,5,1,4.61,1.95,90.60,0.34,3.83,8.10,-301.07,8.10,-301.07,229,10005,1,4.21,2.00,83.86,8.24,4.08,8.59,-304.12,8.59,-304.12,1.00,99.00,99.00,
