trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,306.40,0.02,-221.43,0.00,1.20,3.00,3.18,0.51,-0.07,-2.77,0.26,0.00,6:00,rear end,2.63,269.93,129,1,2,4.21,2.00,269.93,2.88,0.26,0.02,-221.43,0.02,-225.98,133,1,2,4.21,2.00,269.93,2.37,0.26,0.04,-211.22,0.03,-218.68,1.00,99.00,99.00,
left turn real_002.trj,317.40,-0.01,-245.99,0.00,0.00,0.00,4.05,1.65,-1.68,-1.68,0.82,-20.37,6:41,lane change,0.86,249.95,121,1,2,4.01,1.85,269.93,0.03,0.82,-0.01,-245.90,-0.01,-245.99,127,1,2,4.01,1.85,249.56,1.68,0.82,-0.56,-240.35,-1.71,-243.41,1.00,99.00,99.00,
left turn real_002.trj,331.20,-5.84,-281.10,0.00,0.10,0.20,11.49,13.31,0.19,0.19,6.97,113.02,2:14,crossing,4.97,241.62,132,10004,1,4.21,2.00,156.76,5.35,6.97,0.85,-284.48,-7.36,-280.96,137,1,1,4.64,2.00,269.78,10.27,6.34,-3.45,-264.84,-3.51,-280.42,1.00,99.00,99.00,
left turn real_002.trj,355.80,4.68,-308.59,0.00,0.00,0.00,6.95,6.95,-1.75,-3.01,3.69,-7.46,6:15,rear end,3.26,83.14,159,5,2,4.21,2.00,90.60,0.00,3.26,4.68,-308.59,4.68,-308.59,163,5,2,3.75,1.99,83.14,6.95,3.69,4.83,-322.87,6.06,-312.62,1.00,99.00,99.00,
left turn real_002.trj,364.80,4.68,-308.59,0.00,0.00,0.00,6.22,6.22,-2.35,-2.83,3.30,-10.11,6:20,lane change,2.92,80.49,159,5,2,4.21,2.00,90.60,0.00,2.92,4.68,-308.59,4.68,-308.59,167,5,2,3.75,1.99,80.49,6.22,3.30,4.81,-321.40,6.36,-312.14,1.00,99.00,99.00,
left turn real_002.trj,369.00,8.00,-304.15,0.00,0.00,0.00,7.27,4.65,-2.39,-2.83,2.47,4.10,5:52,rear end,4.42,89.67,167,5,1,3.75,1.99,86.42,1.96,2.47,7.89,-305.87,8.00,-304.15,169,5,1,4.21,2.00,90.52,6.60,2.18,8.27,-317.77,8.18,-307.49,1.00,99.00,99.00,
left turn real_002.trj,369.80,8.08,-299.59,0.00,0.00,0.00,7.69,3.74,1.73,1.73,1.89,-7.07,6:14,rear end,1.85,83.54,165,5,1,4.36,1.97,90.60,0.00,1.85,8.08,-299.59,8.08,-299.59,169,5,1,4.21,2.00,83.54,3.74,1.89,8.18,-309.15,8.86,-303.17,1.00,99.00,99.00,
left turn real_002.trj,408.20,4.99,-338.02,0.00,1.00,2.80,7.91,0.64,-1.13,-3.43,0.32,-1.70,6:03,rear end,7.61,89.72,186,5,2,4.01,1.85,90.60,7.31,0.32,5.08,-346.60,4.97,-336.10,188,5,2,4.01,1.85,88.90,7.91,0.32,5.36,-373.86,5.97,-342.10,1.00,99.00,99.00,
left turn real_002.trj,423.60,-1.24,-282.82,0.00,0.00,0.00,8.08,9.86,1.98,1.98,5.24,143.09,1:14,crossing,1.69,185.20,156,10004,1,4.21,2.00,127.13,5.28,4.62,4.12,-289.90,-1.24,-282.82,162,10001,1,4.01,1.85,270.22,5.11,5.24,-3.53,-275.49,-3.50,-284.78,1.00,99.00,99.00,
left turn real_002.trj,426.80,-2.48,-282.11,0.00,0.00,0.00,9.40,10.23,1.58,1.58,5.27,133.76,1:32,crossing,2.27,220.51,158,10004,1,4.61,1.95,136.33,4.64,4.95,3.04,-287.38,-2.48,-282.11,168,1,1,4.21,2.00,270.09,6.45,5.27,-3.53,-269.26,-3.52,-279.97,1.00,99.00,99.00,
